School District,Date Range,Fall 2023 Student Holidays,Spring 2024 Student Holidays,,,,,% of Subpop
East,,,,,,,,
Austin ISD,08/14/23 - 05/23/24,"09/25, 11/13","01/08, 02/09, 04/10, 03/29",,,,,65
Round Rock ISD,08/16/23 - 05/23/24,"09/25, 11/09, 12/10","01/03, 03/29, 04/10",,,,,6
Del Valle ISD,08/09/23 - 05/23/24,"10/16, 10/17, 10/18, 10/19, 10/20","01/08, 02/16, 03/29, 04/01",,,,,17
Manor ISD,08/14/23 - 06/04/24,"10/20, 10/23, 11/07","01/08, 01/15, 02/19, 04/19, 04/20, 05/24, 05/27",,,,,13
,,,,,,,,
West,,,,,,,,
Austin ISD,08/14/23 - 05/23/24,"09/25, 11/13","01/08, 02/09, 04/10, 03/29",,,,,67
Round Rock ISD,08/16/23 - 05/23/24,"09/25, 11/09, 12/10","01/03, 03/29, 04/10",,,,,14
Lake Travis ISD,08/16/23 - 05/24/24,"10/06, 10/09, 10/10 ","01/15, 02/15, 02/16, 02/19, 03/29",,,,,8
Eanes ISD,08/16/23 - 05/24/24,"10/06, 10/09, 10/31, 11/01","01/08, 02/16, 03/29",,,,,6
Leander ISD,08/16/23 - 05/24/24,"09/04, 09/25, 10/09, 11/06, 11/07","01/08, 01/15, 03/18, 03/29, 04/01",,,,,5
