Zip Code,Subpop,population,ISD
78701,West,11121,Austin
78702,East,26492,Austin
78703,West,22486,Austin
78704,West,50482,Austin
78705,West,32926,Austin
78712,West,208,Austin
78717,West,36095,Round Rock
78719,East,1560,Del Valle
78721,East,10724,Austin
78722,West,6578,Austin
78723,East,36304,Austin
78724,East,29337,Manor
78725,East,10815,Del Valle
78726,West,14122,Leander
78727,West,30891,Austin
78728,East,26781,Round Rock
78729,West,30425,Round Rock
78730,West,9671,Austin
78731,West,27142,Austin
78732,West,20649,Leander
78733,West,9328,Eanes
78734,West,22098,Lake Travis
78735,West,20101,Austin
78736,West,9862,Austin
78737,West,26417,Austin
78738,West,28800,Lake Travis
78739,West,20852,Austin
78741,East,45280,Del Valle
78742,East,635,Del Valle
78744,East,51068,Austin
78745,East,61107,Austin
78746,West,28266,Eanes
78747,East,21756,Del Valle
78748,West,54940,Austin
78749,West,34938,Austin
78750,West,29318,Round Rock
78751,West,16032,Austin
78752,East,22259,Austin
78753,East,58444,Austin
78754,East,31414,Manor
78756,West,9849,Austin
78757,West,24325,Austin
78758,East,50592,Austin
78759,West,44874,Austin
